Time;Community;Grid;;;;;;;;;;;
00:00:00;0,42;1,68;;;;;;;;;;;
00:15:00;0,42;1,68;;;;;;;;;;;
00:30:00;0,46;1,84;;;;;;;;;;;
00:45:00;0,44;1,76;;;;;;;;;;;
01:00:00;0,44;1,76;;;;;;;;;;;
01:15:00;0,44;1,76;;;;;;;;;;;
01:30:00;0,44;1,76;;;;;;;;;;;
01:45:00;0,44;1,76;;;;;;;;;;;
02:00:00;0,48;1,92;;;;;;;;;;;
02:15:00;0,5;2;;;;;;;;;;;
02:30:00;0,52;2,08;;;;;;;;;;;
02:45:00;0,54;2,16;;;;;;;;;;;
03:00:00;0,52;2,08;;;;;;;;;;;
03:15:00;0,5;2;;;;;;;;;;;
03:30:00;0,52;2,08;;;;;;;;;;;
03:45:00;0,48;1,92;;;;;;;;;;;
04:00:00;0,5;2;;;;;;;;;;;
04:15:00;0,5;2;;;;;;;;;;;
04:30:00;0,5;2;;;;;;;;;;;
04:45:00;0,54;2,16;;;;;;;;;;;
05:00:00;0,58;2,32;;;;;;;;;;;
05:15:00;0,6;2,4;;;;;;;;;;;
05:30:00;0,6;2,4;;;;;;;;;;;
05:45:00;0,58;2,32;;;;;;;;;;;
06:00:00;0,58;2,32;;;;;;;;;;;
06:15:00;0,6;2,4;;;;;;;;;;;
06:30:00;0,58;2,32;;;;;;;;;;;
06:45:00;0,58;2,32;;;;;;;;;;;
07:00:00;0,58;2,32;;;;;;;;;;;
07:15:00;0,68;2,72;;;;;;;;;;;
07:30:00;0,82;3,28;;;;;;;;;;;
07:45:00;0,9;3,6;;;;;;;;;;;
08:00:00;0,96;3,84;;;;;;;;;;;
08:15:00;0,88;3,52;;;;;;;;;;;
08:30:00;0,8;3,2;;;;;;;;;;;
08:45:00;0,74;2,96;;;;;;;;;;;
09:00:00;0,7;2,8;;;;;;;;;;;
09:15:00;0,68;2,72;;;;;;;;;;;
09:30:00;0,7;2,8;;;;;;;;;;;
09:45:00;0,76;3,04;;;;;;;;;;;
10:00:00;0,88;3,52;;;;;;;;;;;
10:15:00;1,04;4,16;;;;;;;;;;;
10:30:00;1,18;4,72;;;;;;;;;;;
10:45:00;1,28;5,12;;;;;;;;;;;
11:00:00;1,32;5,28;;;;;;;;;;;
11:15:00;1,3;5,2;;;;;;;;;;;
11:30:00;1,28;5,12;;;;;;;;;;;
11:45:00;1,3;5,2;;;;;;;;;;;
12:00:00;1,36;5,44;;;;;;;;;;;
12:15:00;1,4;5,6;;;;;;;;;;;
12:30:00;1,52;6,08;;;;;;;;;;;
12:45:00;1,58;6,32;;;;;;;;;;;
13:00:00;1,62;6,48;;;;;;;;;;;
13:15:00;1,64;6,56;;;;;;;;;;;
13:30:00;1,54;6,16;;;;;;;;;;;
13:45:00;1,46;5,84;;;;;;;;;;;
14:00:00;1,36;5,44;;;;;;;;;;;
14:15:00;1,26;5,04;;;;;;;;;;;
14:30:00;1,12;4,48;;;;;;;;;;;
14:45:00;0,92;3,68;;;;;;;;;;;
15:00:00;0,72;2,88;;;;;;;;;;;
15:15:00;0,5;2;;;;;;;;;;;
15:30:00;0,4;1,6;;;;;;;;;;;
15:45:00;0,38;1,52;;;;;;;;;;;
16:00:00;0,42;1,68;;;;;;;;;;;
16:15:00;0,52;2,08;;;;;;;;;;;
16:30:00;0,58;2,32;;;;;;;;;;;
16:45:00;0,66;2,64;;;;;;;;;;;
17:00:00;0,72;2,88;;;;;;;;;;;
17:15:00;0,8;3,2;;;;;;;;;;;
17:30:00;0,9;3,6;;;;;;;;;;;
17:45:00;0,98;3,92;;;;;;;;;;;
18:00:00;1,02;4,08;;;;;;;;;;;
18:15:00;1,1;4,4;;;;;;;;;;;
18:30:00;1,14;4,56;;;;;;;;;;;
18:45:00;1,18;4,72;;;;;;;;;;;
19:00:00;1,2;4,8;;;;;;;;;;;
19:15:00;1,16;4,64;;;;;;;;;;;
19:30:00;1,14;4,56;;;;;;;;;;;
19:45:00;1,06;4,24;;;;;;;;;;;
20:00:00;0,98;3,92;;;;;;;;;;;
20:15:00;0,88;3,52;;;;;;;;;;;
20:30:00;0,78;3,12;;;;;;;;;;;
20:45:00;0,72;2,88;;;;;;;;;;;
21:00:00;0,68;2,72;;;;;;;;;;;
21:15:00;0,66;2,64;;;;;;;;;;;
21:30:00;0,68;2,72;;;;;;;;;;;
21:45:00;0,7;2,8;;;;;;;;;;;
22:00:00;0,68;2,72;;;;;;;;;;;
22:15:00;0,68;2,72;;;;;;;;;;;
22:30:00;0,66;2,64;;;;;;;;;;;
22:45:00;0,6;2,4;;;;;;;;;;;
23:00:00;0,56;2,24;;;;;;;;;;;
23:15:00;0,54;2,16;;;;;;;;;;;
23:30:00;0,48;1,92;;;;;;;;;;;
23:45:00;0,46;1,84;;;;;;;;;;;
